num_dc,num_retailers,random_seed,fixed_w,complete_column_count,column_enumeration_time_sec,full_master_build_time_sec,cplex_optimization_time_sec,reference_validation_time_sec,reference_total_wall_time_sec,reference_peak_rss_kb,bp_initialization_time_sec,bp_solve_time_sec,bp_validation_time_sec,bp_total_wall_time_sec,bp_peak_rss_kb,bp_initial_columns,bp_generated_columns,bp_final_master_columns,cplex_status,cplex_objective,cplex_gap,bp_status,bp_objective,bp_gap,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,5,101,0.8,171,0.00036645699999999999,0.000772695,0.0043985769999999999,1.4309999999999999e-06,0.0057573920000000001,15620,0.000100759,0.001813502,7.9500000000000001e-07,0.001915056,15620,UNKNOWN,6,UNKNOWN,OPTIMAL,222705.85630668883,0,OPTIMAL_CERTIFIED,222705.85630668883,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,202,0.8,171,0.00063081900000000002,0.0011492989999999999,0.0089549829999999997,9.3099999999999996e-07,0.010925035,16516,8.3708999999999994e-05,0.0025652209999999999,6.4600000000000004e-07,0.0026495759999999998,16516,UNKNOWN,16,UNKNOWN,OPTIMAL,224252.32886326444,0,OPTIMAL_CERTIFIED,224252.32886326444,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,303,0.8,171,0.00044249600000000001,0.001083056,0.0059104520000000001,1.3659999999999999e-06,0.0077295549999999999,16124,0.000107767,0.0022441280000000002,9.3099999999999996e-07,0.0023528260000000001,16124,UNKNOWN,7,UNKNOWN,OPTIMAL,70328.743043943876,0,OPTIMAL_CERTIFIED,70328.743043943876,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,404,0.8,171,0.00064317200000000001,0.021562888999999998,0.0047107850000000003,1.466e-06,0.027217764999999998,14652,0.00014529399999999999,0.002459354,1.029e-06,0.0026056769999999998,14652,UNKNOWN,6,UNKNOWN,OPTIMAL,195272.32451266955,0,OPTIMAL_CERTIFIED,195272.32451266955,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.8,171,0.00064840399999999999,0.0012555019999999999,0.001333716,1.1179999999999999e-06,0.0035645780000000001,13428,0.000112976,0.002728112,8.5199999999999995e-07,0.0028419399999999998,14816,UNKNOWN,4,UNKNOWN,OPTIMAL,30207.452694522348,0,OPTIMAL_CERTIFIED,30207.452694522348,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,606,0.8,171,0.00081204200000000002,0.02428961,0.010771370000000001,1.243e-06,0.036277709999999998,16292,0.00016974199999999999,0.0042457049999999998,5.9500000000000002e-07,0.0044160419999999994,16292,UNKNOWN,18,UNKNOWN,OPTIMAL,219319.77020266198,0,OPTIMAL_CERTIFIED,219319.77020266198,0,0,0,true,true,5,0,1,0,0,true,3x5
3,5,707,0.8,171,0.00067542600000000002,0.001303944,0.007279598,1.105e-06,0.0095518089999999996,16504,0.00012537900000000001,0.0028536579999999998,8.1100000000000005e-07,0.0029798479999999998,16504,UNKNOWN,9,UNKNOWN,OPTIMAL,253730.45657244037,0,OPTIMAL_CERTIFIED,253730.45657244037,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,808,0.8,171,0.00064389899999999997,0.022266675999999999,0.0086880140000000008,1.122e-06,0.031880906000000001,15644,0.00013627800000000001,0.0035832540000000001,6.6000000000000003e-07,0.0037201920000000002,15644,UNKNOWN,12,UNKNOWN,OPTIMAL,235065.40131666639,0,OPTIMAL_CERTIFIED,235065.40131666639,0,0,0,true,true,5,0,1,0,0,true,3x5
3,5,909,0.8,171,0.000666163,0.001278361,0.0050784380000000002,1.4839999999999999e-06,0.0072912810000000002,15776,0.00016855700000000001,0.001793336,1.1349999999999999e-06,0.0019630280000000003,15776,UNKNOWN,3,UNKNOWN,OPTIMAL,88773.452089609404,0,OPTIMAL_CERTIFIED,88773.452089609404,0,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.8,171,0.00063725800000000003,0.0012662420000000001,0.0064708120000000003,8.7700000000000003e-07,0.0086834470000000004,16424,0.00010645,0.0027821059999999999,5.3799999999999997e-07,0.002889094,16424,UNKNOWN,16,UNKNOWN,OPTIMAL,112733.39279149912,0,OPTIMAL_CERTIFIED,112733.39279149912,0,0,0,true,true,5,0,1,0,0,true,3x5
5,10,101,0.0,10180,0.027960747000000001,0.0099829389999999997,0.047714488999999999,1.3909999999999999e-06,0.086266503000000008,28672,0.00015236199999999999,0.0023786580000000001,5.5700000000000002e-07,0.0025315770000000001,28672,UNKNOWN,32,UNKNOWN,OPTIMAL,505776.35827637999,0,OPTIMAL_CERTIFIED,505776.35827637993,0,5.8207660913467407e-11,1.1508576856346458e-16,true,true,6,0,1,0,0,true,5x10
5,10,202,0.0,10180,0.03692782,0.031300749000000003,0.038892215000000001,1.0869999999999999e-06,0.10766799199999999,28316,0.00014297999999999999,0.0024855680000000001,6.5400000000000001e-07,0.0026292020000000002,28316,UNKNOWN,32,UNKNOWN,OPTIMAL,534421.34437029378,0,OPTIMAL_CERTIFIED,534421.34437029378,0,0,0,true,true,5,0,1,0,0,true,5x10
5,10,303,0.0,10180,0.013203278000000001,0.005577785,0.040214800000000002,1.843e-06,0.059743553000000005,28520,0.00015757400000000001,0.0035592670000000001,6.44e-07,0.0037174850000000004,28520,UNKNOWN,42,UNKNOWN,OPTIMAL,597865.0519616087,0,OPTIMAL_CERTIFIED,597865.05196160881,0,1.1641532182693481e-10,1.9471839246159902e-16,true,true,8,0,1,0,0,true,5x10
5,10,404,0.0,10180,0.013606734000000001,0.0055569900000000004,0.016565011000000001,1.108e-06,0.036280427999999997,28056,0.00014986399999999999,0.001166895,4.4400000000000001e-07,0.0013172030000000001,28056,UNKNOWN,15,UNKNOWN,OPTIMAL,424640.16047616187,0,OPTIMAL_CERTIFIED,424640.16047616175,0,1.1641532182693481e-10,2.741505224008836e-16,true,true,4,0,1,0,0,true,5x10
5,10,505,0.0,10180,0.013054173000000001,0.0051253050000000001,0.0092654539999999994,1.237e-06,0.027870594000000002,28308,0.00019220199999999999,0.001197919,5.3600000000000004e-07,0.001390657,28308,UNKNOWN,17,UNKNOWN,OPTIMAL,403886.70141346997,0,OPTIMAL_CERTIFIED,403886.70141346997,0,0,0,true,true,4,0,1,0,0,true,5x10
5,10,606,0.0,10180,0.031087211999999999,0.032401939999999997,0.071360248000000001,1.547e-06,0.135661583,28896,0.000195441,0.004574308,7.1099999999999995e-07,0.0047704599999999998,28896,UNKNOWN,39,UNKNOWN,OPTIMAL,778892.61151911214,0,OPTIMAL_CERTIFIED,778892.61151911202,0,1.1641532182693481e-10,1.494626089723516e-16,true,true,9,0,1,0,0,true,5x10
